epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,5.489625757932663,4.2,19.08,5.489625757932663,0.40105307030209403
2,5.470092839002609,4.54,18.94,5.4710693359375,0.40421181914293136
3,5.471357303857803,3.6999999999999997,16.220000000000002,5.47134256362915,0.4094748605289329
4,5.470772457122803,3.1,17.84,5.470800876617432,0.4168398851465209
5,5.471578109264374,3.0,16.2,5.47153902053833,0.426303661375405
6,5.4704226613044735,3.0,18.56,5.470478057861328,0.43786203670654444
7,5.470630693435669,4.5600000000000005,19.400000000000002,5.470623016357422,0.4515099395641933
8,5.471135038137436,2.86,16.7,5.471109390258789,0.46724138153118666
9,5.470366191864014,3.9800000000000004,19.98,5.470402717590332,0.48504945997654936
10,5.470356595516205,2.6,16.28,5.470358371734619,0.5049263610842196
11,5.470744007825852,3.1399999999999997,16.939999999999998,5.470725059509277,0.5268633632815902
12,5.471091324090958,3.0,19.96,5.471072673797607,0.5508508410663602
13,5.470909249782562,4.22,17.46,5.470917224884033,0.5768782692299936
14,5.470487654209137,3.0,18.060000000000002,5.470509052276611,0.6049342274759741
15,5.470474207401276,3.18,19.98,5.470475673675537,0.6350064054307953
16,5.4701264798641205,3.0,17.68,5.470144271850586,0.6670816080454838
17,5.470784866809845,3.2800000000000002,17.84,5.470752716064453,0.7011457613853338
18,5.470423221588135,3.8,19.54,5.470439434051514,0.7371839188052363
19,5.470593523979187,4.0,18.72,5.470585823059082,0.7751802675079773
20,5.470424807071685,3.0,17.28,5.470432281494141,0.8151181354825532
21,5.470466619729995,4.2,18.4,5.470464706420898,0.8569799988195079
22,5.470363569259644,4.0,19.68,5.4703688621521,0.9007474894000644
23,5.470753943920135,3.0,16.74,5.4707350730896,0.9464014029556687
24,5.47046337723732,2.9000000000000004,18.279999999999998,5.4704766273498535,0.9939217074944278
25,5.470478212833404,2.5,15.459999999999999,5.470478057861328,1.0432875520907352
26,5.470306676626206,3.02,17.7,5.470315456390381,1.0944772760342243
27,5.470375430583954,2.88,17.94,5.470372200012207,1.1474684183340376
28,5.470092624425888,5.7,18.4,5.470106601715088,1.2022377275742446
29,5.470995980501175,3.92,18.2,5.470951080322266,1.2587611721160865
30,5.4702517807483675,3.46,18.16,5.4702863693237305,1.3170139506425542
31,5.470609724521637,4.0,19.02,5.470593452453613,1.3769705030406971
32,5.4707107782363895,3.0,16.76,5.470704555511475,1.4386045216168721
33,5.470394551753998,3.1,16.54,5.470409870147705,1.5018889626400114
34,5.4703878402709964,2.5,17.46,5.470388889312744,1.566796058207851
35,5.470448839664459,3.0,16.919999999999998,5.4704461097717285,1.6332973284309222
36,5.470290040969848,3.8,19.2,5.470297813415527,1.701363593928921
37,5.4705370485782625,3.04,16.86,5.470524787902832,1.7709649886340255
38,5.470051372051239,3.5999999999999996,16.939999999999998,5.470074653625488,1.8420709728955096
39,5.470824724435806,3.9600000000000004,19.18,5.470787048339844,1.9146503468799008
40,5.470394265651703,3.7800000000000002,19.220000000000002,5.470413684844971,1.988671264260832
41,5.470712900161743,3.46,18.48,5.470697402954102,2.064101246192542
42,5.4703840732574465,3.8600000000000003,19.64,5.470399856567383,2.140907195560919
43,5.470342659950257,4.0,17.4,5.470345497131348,2.219055411505839
44,5.470482951402664,3.6999999999999997,18.64,5.470475673675537,2.2985116042083975
45,5.470505821704864,4.0,18.5,5.470504283905029,2.379240909936571
46,5.470419931411743,3.0,17.599999999999998,5.470424175262451,2.461207906342705
47,5.470537722110748,4.24,18.88,5.470531940460205,2.5443766280061046
48,5.470399153232575,3.9800000000000004,17.4,5.4704060554504395,2.628710582213918
49,5.47041683793068,4.0,17.560000000000002,5.47041654586792,2.7141727649733802
50,5.470421689748764,3.88,18.08,5.47042179107666,2.8007256772484013
51,5.470392620563507,4.0,18.34,5.470394134521484,2.888331341413366
52,5.470469659566879,2.5,17.26,5.470465660095215,2.976951317916929
53,5.470408034324646,3.5999999999999996,17.82,5.4704108238220215,3.0665467221484963
54,5.470451790094375,3.0,19.139999999999997,5.470449447631836,3.1570782414999856
55,5.470406198501587,4.0,19.24,5.470407962799072,3.2485061526153807
56,5.470387554168701,4.0,19.06,5.470388412475586,3.3407903388205256
57,5.470473909378052,4.1000000000000005,18.48,5.4704694747924805,3.433890307725484
58,5.470418894290924,4.279999999999999,17.86,5.470421314239502,3.5277652089917657
59,5.470467990636825,4.0,17.36,5.470465660095215,3.6223738522566036
60,5.47042533159256,3.38,16.619999999999997,5.4704270362854,3.7176747252064404
61,5.470425087213516,2.5,16.6,5.470425128936768,3.813626011791663
62,5.470405668020248,3.66,18.72,5.470406532287598,3.910185610574625
63,5.470426690578461,2.9000000000000004,16.32,5.470425605773926,4.0073111532028864
64,5.470424693822861,3.38,16.400000000000002,5.470424652099609,4.104960022999565
65,5.470410239696503,3.02,16.6,5.47041130065918,4.203089373662653
66,5.470469355583191,2.5,16.520000000000003,5.470466613769531,4.301656148065091
67,5.470418858528137,3.5999999999999996,18.740000000000002,5.470421314239502,4.400617097147337
68,5.470387405157089,4.0,17.18,5.470388889312744,4.499928798894164
69,5.4704474568367,4.0,18.060000000000002,5.470444679260254,4.59954767738734
70,5.470421671867371,3.1,17.84,5.470423221588135,4.699430021925834
71,5.470423871278763,2.1999999999999997,17.599999999999998,5.470423221588135,4.799532006205175
72,5.470414787530899,3.44,16.32,5.470414638519287,4.899809707547518
73,5.470412802696228,3.7600000000000002,17.14,5.4704132080078125,5.000219126174008
74,5.470429104566574,3.1,17.380000000000003,5.470427989959717,5.100716204510979
75,5.470419383049011,4.9799999999999995,21.279999999999998,5.470419883728027,5.201256846521496
76,5.470416069030762,3.88,16.2,5.470416069030762,5.301796937053786
77,5.470419347286224,3.56,17.28,5.470419406890869,5.402292361198052
78,5.4703732371330265,4.0,16.86,5.4703755378723145,5.502699023643186
79,5.470446002483368,3.92,19.439999999999998,5.470442295074463,5.602972868024873
80,5.470566666126251,4.0,16.400000000000002,5.470560073852539,5.703069896256616
81,5.470649307966232,3.18,16.76,5.470644950866699,5.8029461878351825
82,5.470448470115661,3.8600000000000003,16.36,5.470458507537842,5.90255791911201
83,5.470429623126984,3.0,15.959999999999999,5.470430850982666,6.001861382522124
84,5.470444440841675,2.5,17.48,5.4704437255859375,6.100813005762099
85,5.470410835742951,3.56,19.7,5.470412731170654,6.1993693709086966
86,5.470423316955566,3.94,17.64,5.470422267913818,6.297487233469742
87,5.4704307317733765,3.8600000000000003,17.46,5.470430374145508,6.395123541358916
88,5.470422631502151,4.14,19.06,5.470422744750977,6.492235453786113
89,5.470422863960266,4.0,18.240000000000002,5.470422267913818,6.588780360055107
90,5.470424956083297,4.1000000000000005,17.96,5.470424652099609,6.684715898260222
91,5.470417732000351,3.44,18.459999999999997,5.4704179763793945,6.779999973873879
92,5.470438170433044,3.52,18.02,5.470437049865723,6.8745907782167865
93,5.47042515873909,4.16,18.4,5.470425605773926,6.968446806802735
94,5.4704216599464415,3.64,17.62,5.470422267913818,7.061526877549905
95,5.470423650741577,3.2199999999999998,17.22,5.470423221588135,7.153790148850699
96,5.470426768064499,3.5999999999999996,17.86,5.470426082611084,7.245196137492211
97,5.470428442955017,2.8400000000000003,17.580000000000002,5.470428466796875,7.335704736419412
98,5.470439910888672,3.6999999999999997,16.98,5.470439434051514,7.425276232333296
99,5.470374321937561,3.88,18.3,5.470377445220947,7.51387132311625
100,5.47053217291832,3.56,18.26,5.470524311065674,7.601451135077022
101,5.470436823368073,3.0,17.22,5.4704413414001465,7.687977240007679
102,5.470423412322998,3.0,16.7,5.470423698425293,7.773411672045113
103,5.4704197406768795,3.54,18.68,5.470419883728027,7.857716944329675
104,5.470416700839996,3.0,17.02,5.47041654586792,7.940856065453634
105,5.470415323972702,3.9800000000000004,19.220000000000002,5.470415115356445,8.022792555692243
106,5.4704198956489565,3.56,18.96,5.470419883728027,8.103490463010282
107,5.470428156852722,2.96,17.380000000000003,5.470427513122559,8.182914378837069
108,5.470432007312775,3.56,15.4,5.470431804656982,8.261029453603003
109,5.470417273044586,3.7600000000000002,17.64,5.4704179763793945,8.337801412030846
110,5.470430028438568,3.2,14.899999999999999,5.470429420471191,8.413196568174989
111,5.470424497127533,3.52,18.78,5.470424652099609,8.487181840202162
112,5.470395493507385,3.9800000000000004,17.560000000000002,5.470396995544434,8.559724764907044
113,5.47042925953865,3.2800000000000002,18.0,5.470427989959717,8.630793511956455
114,5.470421826839447,4.2,15.379999999999999,5.470422267913818,8.70035689785584
115,5.470415306091309,4.2,19.86,5.470415115356445,8.76838439963195
116,5.470409542322159,4.0,17.8,5.470409870147705,8.834846168225685
117,5.470418447256089,4.34,17.86,5.4704179763793945,8.899713041589237
118,5.470417904853821,3.88,18.2,5.4704179763793945,8.962956557481805
119,5.470422220230103,3.66,17.22,5.470422267913818,9.024548965958225
120,5.470421975851059,4.2,17.4,5.47042179107666,9.084463241545082
