epoch,train_loss,test_acc@1,test_acc@5
97,1.0482608361121937,71.09,98.24000000000001
98,1.0366897581479488,71.41999999999999,98.36
99,1.0414795060952504,71.81,98.37
100,1.045233977605135,71.89999999999999,98.46000000000001
101,1.0354013262650905,71.96000000000001,98.39
102,1.0246959064251338,72.17,98.28
103,1.0249682047428228,71.84,98.42
104,1.0195927862937635,71.96000000000001,98.4
105,1.0306217329624372,71.72,98.27
106,1.0147033917598236,72.09,98.46000000000001
107,1.0123926401138306,72.02,98.34
108,1.0106879874681816,72.41,98.41
109,0.9988992026219001,71.83,98.38
110,0.9980673097647154,72.45,98.55000000000001
111,0.9997512207581447,72.76,98.53
112,0.993821211044605,72.33000000000001,98.45
113,0.9930419603983561,72.86,98.59
114,0.9848096794042832,73.36,98.45
115,0.984166968632967,73.06,98.64
116,0.980764214350627,72.66,98.48
117,0.9926554074654212,73.38,98.59
118,0.9828360647727281,73.29,98.54
119,0.9787785811301989,72.84,98.58
120,0.9739477634429932,73.16,98.61999999999999
121,0.9710197580166352,72.58,98.61
122,0.9747614495265178,72.75,98.52
123,0.9645462202720153,72.83,98.53
124,0.9623723948613191,73.08,98.61999999999999
125,0.9640611912959661,73.26,98.56
126,0.9694200749580677,73.42,98.59
127,0.964512658272034,73.19,98.63
128,0.9561316329699296,73.83,98.72
129,0.963650919840886,73.54,98.71
130,0.9544541747142107,73.76,98.64
131,0.9498799993441656,73.63,98.59
132,0.9529835959275563,73.97,98.7
133,0.9495019026291676,73.37,98.64
134,0.9446585977688814,73.91,98.68
135,0.9387751863552973,73.50999999999999,98.6
136,0.9379704802464216,74.11,98.67
137,0.9437260786692302,74.03999999999999,98.56
138,0.9325114329655965,73.78,98.69
139,0.930849417203512,74.05000000000001,98.69
140,0.9246346412560879,74.21,98.72999999999999
141,0.9323108497338417,73.71,98.67
142,0.9263121566711328,74.42,98.75
143,0.9134525005634014,74.22999999999999,98.74000000000001
144,0.9219300451951149,74.48,98.61
145,0.926120150853426,74.72,98.55000000000001
146,0.9203740595242916,74.19,98.61
147,0.9192339602189187,74.45,98.67
148,0.9154492037418561,74.08,98.85000000000001
149,0.915274224525843,74.35000000000001,98.72
150,0.926572304047071,74.77000000000001,98.86
151,0.9027628327027345,74.6,98.82
152,0.9024811506271362,75.03,98.7
153,0.9066442284828578,74.53999999999999,98.86
154,0.9094335044041658,74.99,98.82
155,0.9017882110216678,74.66000000000001,98.79
156,0.9005852820017399,75.16000000000001,98.91
157,0.8966600078802842,74.59,98.69
158,0.9015310370005094,75.01,98.74000000000001
159,0.8908497578058487,74.85000000000001,98.74000000000001
160,0.8932587894109579,75.01,98.77
161,0.8885776032239963,75.38,98.85000000000001
162,0.8959783904063396,75.17,98.85000000000001
163,0.8911078214645386,75.55,98.83
164,0.8841451408007206,75.1,98.82
165,0.8912340465264442,75.58,98.72
166,0.8808450789023669,75.47,98.8
167,0.8821074517873617,75.68,98.81
168,0.8825275318744855,75.72,98.79
169,0.8784768067873441,75.31,98.87
170,0.8756527254214653,76.31,98.81
171,0.881870648646966,75.56,98.81
172,0.8707054000634413,75.85,98.83999999999999
173,0.8655464305327489,75.87,98.81
174,0.8687151985290723,76.08,98.8
175,0.8710633351252629,75.44,98.81
176,0.8781164575845767,76.02,98.92999999999999
177,0.8734905803814913,76.57000000000001,98.96000000000001
178,0.8714870046346616,76.27000000000001,98.9
179,0.8742079907502883,76.09,98.88
180,0.859766137599945,75.92,98.87
181,0.8599513435975099,75.82,98.83999999999999
182,0.8721893608570099,75.86,98.79
183,0.8658998843951103,76.03,98.92999999999999
184,0.8662868887950212,76.6,98.85000000000001
185,0.8628666906784742,76.47,98.89
186,0.8566582036324036,76.22,98.94
187,0.8622265831018106,76.17,98.92999999999999
188,0.8604792173092182,76.42999999999999,98.97
189,0.8457221685311733,76.09,98.92999999999999
190,0.8471008585049555,75.89,98.78
191,0.8495434223077236,76.27000000000001,98.94
192,0.8517927282131635,76.1,98.82
193,0.862026993280802,76.24,98.87
194,0.8442970852057139,76.5,98.83999999999999
195,0.8394640974509411,76.55,99.00999999999999
196,0.8519904919159718,76.08,98.89
197,0.8411950650887612,76.22,98.94
198,0.8533831727810395,76.53,98.83999999999999
199,0.8380480093833728,76.91,98.89
200,0.8509570438128251,76.89,98.89
201,0.8337037161374703,76.77000000000001,98.87
202,0.8481832780899146,76.48,98.83999999999999
203,0.8336335750726553,76.92,98.88
204,0.8281922668982775,76.97,98.95
205,0.8379121807905344,77.03999999999999,98.99
206,0.8298946755054669,76.84,98.94
207,0.8348864341393495,77.09,98.98
208,0.8412430734206469,76.66,98.94
209,0.8398267426551916,76.81,98.9
210,0.8354994170176677,76.55999999999999,98.95
211,0.8235734835649148,77.09,98.89
212,0.8250753259047484,77.01,98.98
213,0.8280587798509842,77.17,98.94
214,0.808001089707399,76.9,98.83999999999999
215,0.8307011103018737,77.2,98.97
216,0.820732660476978,76.99000000000001,98.95
217,0.8214882378394787,76.92999999999999,98.83999999999999
218,0.822550384967755,76.88000000000001,98.95
219,0.8133671829333672,76.68,98.99
220,0.8203149621303265,76.91,98.95
221,0.8172644798572247,76.91,99.00999999999999
222,0.8253295971797063,77.36,98.89
223,0.8135481291856521,77.56,98.94
224,0.8198617678422194,77.44,98.97
225,0.814236423602471,77.49000000000001,98.88
226,0.8098570774763059,77.84,98.99
227,0.8097201199103624,77.27000000000001,99.03
228,0.8143954596458337,77.66,98.95
229,0.8036665081977844,78.29,98.96000000000001
230,0.8087883953864757,77.82,99.1
231,0.8150864702004653,77.83,98.91
232,0.7918660649886498,77.81,99.00999999999999
233,0.8114755399716206,78.2,99.00999999999999
234,0.8029434278989449,77.75999999999999,98.98
235,0.8085697397207603,77.32,99.03999999999999
236,0.8118302910755842,77.75,99.02
237,0.801766956005341,77.89,99.06
238,0.8024533256506309,78.0,99.03
239,0.8082004956710033,77.85,99.00999999999999
240,0.8014523338048886,77.94,99.06
241,0.7987449240990174,78.34,99.03
242,0.7929756428950873,77.94,98.97
243,0.7869185443107899,77.68,98.97
244,0.7996973329629653,77.86,98.92
245,0.7955281046720651,77.94,98.97
246,0.8024127601048885,78.44,99.07000000000001
247,0.7980781429853194,78.85,98.88
248,0.791844567274436,78.0,98.96000000000001
249,0.7861667011028681,78.06,99.09
250,0.7946139208781413,78.10000000000001,99.06
251,0.790661368614588,77.98,99.03
252,0.7885280615244157,78.25999999999999,99.07000000000001
253,0.7858573383245713,77.98,99.05000000000001
254,0.789340414909216,78.01,99.03
255,0.7785713192744133,78.44,99.09
256,0.7906657365652231,78.51,99.11999999999999
257,0.7831015667854211,78.24,99.15
258,0.7845884880958459,78.96,99.11
259,0.7870138429678404,78.10000000000001,99.11
260,0.7742380235439692,78.61,99.11
261,0.7855985212020385,78.48,99.09
262,0.7822435402717346,79.0,99.1
263,0.7759369434454502,78.36999999999999,99.03
264,0.7877892394860585,78.23,99.1
265,0.7693757528677965,78.89,99.05000000000001
266,0.7747503865987827,78.95,99.14
267,0.7779993969660539,78.71000000000001,99.06
268,0.7793394021498852,78.64,99.11999999999999
269,0.7826166498355377,78.34,99.08
270,0.77766893972189,78.64,99.05000000000001
271,0.7638529455050443,78.46,99.08
272,0.7692711482445399,78.61,99.07000000000001
273,0.7740720941470219,78.64999999999999,99.0
274,0.7759727912071424,79.36,99.13
275,0.7769399823286595,78.92,99.15
276,0.7761775965874012,78.99000000000001,99.11
277,0.7742441547986788,79.05,99.1
278,0.7649372236850934,79.09,99.09
279,0.7753652598613348,79.01,99.05000000000001
280,0.7711011677216261,79.17,99.08
281,0.7665300031503042,78.91,99.06
282,0.7680513967306186,78.61,99.03999999999999
283,0.7700041193228502,78.66,99.14
284,0.7618689935940962,78.4,99.18
285,0.7659147899884444,78.95,99.09
286,0.7646789323060941,78.72,99.09
287,0.7525794807917032,79.01,99.2
288,0.7582774396126087,78.91,99.06
289,0.7670203653665689,79.28,99.09
290,0.761278746678279,79.38,99.07000000000001
291,0.7604125340779623,79.28,99.26
292,0.7599875239989696,78.95,99.11
293,0.763452958372923,78.73,99.15
294,0.7676388700803121,79.13,99.16
295,0.7603140375553034,79.22,99.08
296,0.7494790849013206,79.32000000000001,99.08
297,0.755375395142115,79.85,99.11
298,0.7558145967813639,79.41,99.13
299,0.7573221947902288,79.7,99.22999999999999
300,0.7573459409750425,79.78,99.1
301,0.7533991039563448,79.62,99.13
302,0.7465276514872526,79.67,99.14
303,0.7600842292492206,79.5,99.11999999999999
304,0.7554199261543079,79.5,99.19
305,0.7451274699125534,78.81,99.18
306,0.7526839305192996,79.14,99.18
307,0.7545559258033068,79.10000000000001,99.11999999999999
308,0.7512429067721733,79.27,99.19
309,0.7502698183823855,79.24,99.15
310,0.7541393207433896,79.73,99.22999999999999
311,0.7471000053943732,79.72,99.11999999999999
312,0.7472242787098273,79.58,99.09
313,0.7566673754117428,80.02,99.18
314,0.7510222386091183,79.93,99.25
315,0.7507762643007132,79.9,99.17
316,0.7389226354085482,79.97,99.16
317,0.7416356183015383,79.82000000000001,99.26
318,0.7484295983345081,79.21000000000001,99.16
319,0.7429736672303615,79.54,99.13
320,0.7475015219969627,79.79,99.19
321,0.7407346294476436,79.89,99.17
322,0.7510201560381131,79.5,99.08
323,0.7505593634568728,79.71000000000001,99.25
324,0.746318244934082,79.96,99.17
325,0.7352669334564453,80.25,99.24
326,0.7452882896631192,79.80000000000001,99.18
327,0.7486686509389143,79.93,99.17
328,0.7358066592461023,79.51,99.2
329,0.7387238233517378,80.06,99.22
330,0.7439326060123933,79.86999999999999,99.14
331,0.7418252530770424,80.28999999999999,99.15
332,0.7421879201363295,80.03,99.16
333,0.7250562094725095,80.17999999999999,99.16
334,0.7326495619920584,80.24,99.16
335,0.7266739979004249,80.27,99.18
336,0.7243264943361283,79.88,99.27
337,0.7386532257764767,79.99000000000001,99.21
338,0.7355051816273959,80.38,99.14
339,0.7322899959026239,80.24,99.07000000000001
340,0.7358317027489344,80.42,99.22999999999999
341,0.7225945223600436,80.2,99.03
342,0.7296780069669088,80.13,99.24
343,0.7313169173705272,80.78,99.15
344,0.7188681305983128,79.95,99.17
345,0.7310010968110501,80.42,99.27
346,0.728595704680834,80.62,99.2
347,0.7299691592271511,80.46,99.06
348,0.7283534921132602,80.55,99.17
349,0.7272590645612814,80.85,99.18
350,0.7309924535262279,80.05,99.18
351,0.7266490049851246,80.58,99.13
352,0.7323219135021553,80.7,99.16
353,0.7361966812457794,79.86999999999999,99.13
354,0.7253025502730639,80.4,99.14
355,0.728080553886218,80.25999999999999,99.14
356,0.7154284621660526,80.51,99.24
357,0.7216550839252961,80.45,99.16
358,0.7227138748535743,80.5,99.22
359,0.7232308424436129,80.47999999999999,99.32
360,0.726929186628415,80.47,99.24
361,0.7322829212897863,80.28,99.26
362,0.7275435136678892,80.85,99.33
363,0.716216755983157,80.73,99.25
364,0.7141546189020842,80.67,99.24
365,0.7197501730460387,80.7,99.28
366,0.7180588647341117,80.54,99.28
367,0.7167322663924633,80.23,99.2
368,0.7250130401972013,80.19,99.18
369,0.7242089308225191,80.58999999999999,99.22999999999999
370,0.7244868761453873,80.34,99.24
371,0.7171428332726161,80.95,99.22
372,0.7183385143677393,80.44,99.31
373,0.7124638380148471,80.71000000000001,99.16
374,0.7057589343725107,81.13,99.18
375,0.7142721570455111,80.7,99.33
376,0.7172027884385525,80.78,99.19
377,0.7025127048675831,80.46,99.2
378,0.7137359909522227,80.45,99.18
379,0.7092505853145551,80.93,99.19
380,0.7162568601278159,80.96,99.17
381,0.7123494143669422,80.84,99.25
382,0.7210591337619684,81.19,99.14
383,0.7140023006842686,80.53,99.22
384,0.7080983761029366,80.54,99.28
385,0.7218212657249891,80.53,99.26
386,0.710587189747737,80.5,99.22999999999999
387,0.7082262762081929,80.53,99.25
388,0.7129850120116503,80.36,99.2
389,0.7089351737346404,80.83,99.26
390,0.7105564190791204,81.14,99.28
391,0.7132186321111825,80.77,99.26
392,0.7055964115338448,80.84,99.27
393,0.7108249639089291,81.02000000000001,99.22
394,0.7097842644422482,80.47999999999999,99.18
395,0.7058324966675196,81.28999999999999,99.22
396,0.7130797182902312,81.17,99.22
397,0.6988554726808499,81.02000000000001,99.28
398,0.7053783255509841,81.08999999999999,99.22
399,0.7053758916946558,80.84,99.22999999999999
400,0.7001900699658271,81.17,99.24
401,0.7120461534231137,80.82000000000001,99.15
402,0.7081570983697206,80.72,99.18
403,0.7019188660841722,80.84,99.24
404,0.7037777459774262,80.87,99.28
405,0.6953190164688307,80.83,99.22
406,0.6990050569558754,81.6,99.24
407,0.6904497273457356,80.97999999999999,99.3
408,0.7018572861567521,81.57,99.16
409,0.7034894934831522,81.05,99.15
410,0.7078296251021898,80.65,99.21
411,0.6986251194507648,81.23,99.26
412,0.7065040025955591,81.25,99.35000000000001
413,0.7040030998297226,81.23,99.14
414,0.6972446090899981,81.27,99.21
415,0.7017300394865182,80.81,99.22999999999999
416,0.7072910247704922,81.31,99.25
417,0.6927127945881624,80.82000000000001,99.17
418,0.7011232210275454,81.16,99.27
419,0.6903555456644449,81.16,99.3
420,0.7058663203166081,81.28999999999999,99.22999999999999
421,0.7038519152464011,81.55,99.19
422,0.6920328673643944,81.63,99.3
423,0.6975902691865579,81.67,99.28
424,0.6968788201228167,81.58999999999999,99.21
425,0.6905763153846447,80.99,99.28
426,0.6954646565211124,81.22,99.33
427,0.6957745577280338,81.12,99.29
428,0.7027238409488629,81.25,99.33
429,0.6920440020469519,81.61,99.22
430,0.6975936161401944,80.92,99.29
431,0.692535916200051,81.08,99.32
432,0.6945658444594114,81.28999999999999,99.22
433,0.6946893258736684,81.28,99.28
434,0.6874785184860229,81.06,99.36
435,0.6848836368475205,81.47999999999999,99.35000000000001
436,0.6927433649698893,81.28,99.33999999999999
