epoch,train_loss,test_acc@1,test_acc@5
1,4.246720102505806,48.15,92.33
2,2.705640868651561,53.959999999999994,94.84
3,2.194851221488072,56.96,95.46
4,1.9378060674056028,58.81999999999999,95.69
5,1.7719771449382489,61.33,96.37
6,1.6641952612461188,62.35000000000001,96.91
7,1.5523715535799663,63.2,96.77
8,1.4982026069592207,64.31,96.88
9,1.43375773643836,65.13,97.14
10,1.4049296391315949,65.52,97.50999999999999
11,1.3520760180094302,66.31,97.35000000000001
12,1.3337334834612333,66.46,97.5
13,1.301331440302042,66.75999999999999,97.43
14,1.2660768238397746,66.75999999999999,97.63
15,1.238332988665654,67.21000000000001,97.53
16,1.229655135442049,67.86999999999999,97.8
17,1.1992607919069438,68.38,97.83
18,1.1824337285298567,68.63,97.95
19,1.1632810562084883,68.57,97.96000000000001
20,1.1592546285727086,69.55,98.13
21,1.1464321112021423,68.83,98.06
22,1.1182827226626568,70.0,98.17
23,1.1127732052252843,69.17,98.05
24,1.1025156158667344,70.36,98.15
25,1.0787942472176675,69.62,98.21
26,1.0602369265678602,70.14,98.37
27,1.0559444766778212,70.17999999999999,98.17
28,1.0424286203506665,70.6,98.19
29,1.042164374467654,70.14,98.2
30,1.032446499207081,70.98,98.11
31,1.02150541192446,71.67999999999999,98.38
32,1.0120732069015503,71.37,98.33
33,0.9997534080957755,70.99,98.31
34,0.9937459111213685,71.48,98.3
35,0.9894569227328667,71.27,98.44000000000001
36,0.9819426010816525,71.72,98.35000000000001
37,0.9698056616844275,71.89,98.42999999999999
38,0.9756082916871095,72.07000000000001,98.54
39,0.9566580599699265,72.53,98.55000000000001
40,0.951950312883426,72.85000000000001,98.46000000000001
41,0.941640319274022,72.99,98.53
42,0.9427926228596614,72.55,98.31
43,0.9442745723785498,72.26,98.34
44,0.9312286626069973,73.13,98.36
45,0.9286157320707272,72.66,98.54
46,0.9126396434429365,72.14,98.52
47,0.9120999617454333,73.25,98.49
48,0.9059687385192284,73.81,98.64
49,0.9078781303686974,73.48,98.46000000000001
50,0.8914535436874781,74.18,98.65
51,0.8992628320669517,73.61999999999999,98.52
52,0.8962994525065788,74.02,98.57000000000001
53,0.8910869916280111,73.36,98.5
54,0.8806705363285847,73.3,98.47
55,0.8894497104180165,73.89,98.48
56,0.8816982691104596,73.32,98.48
57,0.8721866089564103,74.32,98.52
58,0.8602294376263252,73.72999999999999,98.61
59,0.8623057507551634,74.3,98.61
60,0.8600597237929319,74.24,98.72999999999999
61,0.8546474834283193,74.36,98.65
62,0.8486991203748263,74.48,98.74000000000001
63,0.8441095358286148,74.83,98.71
64,0.8427479826487028,74.72999999999999,98.82
65,0.8409376269731766,74.31,98.74000000000001
66,0.8427364265307402,74.53,98.52
67,0.8272826758714823,74.5,98.54
68,0.8383795816164751,74.78,98.74000000000001
69,0.8313412212408506,75.13,98.68
70,0.8238826380326197,75.33999999999999,98.72
71,0.8102598778712444,74.77000000000001,98.67
72,0.8154686085688763,75.53,98.75
73,0.8164328078428904,74.99,98.65
74,0.8090249883822905,75.49,98.77
75,0.8016443096674406,76.02,98.75
