,train_loss,test_acc@1,test_acc@5
1,4.020451545104002,47.870000000000005,91.78
2,3.2268299206709252,49.6,92.80000000000001
3,2.9080284901154347,49.76,92.80000000000001
4,2.6820739189783733,50.64999999999999,93.47
5,2.5289276505127933,51.61,93.32000000000001
6,2.4068553750331585,52.14,93.96
7,2.328874111175537,53.18000000000001,94.17
8,2.252238073104467,53.55,94.51
9,2.197220966143486,54.66,94.75
10,2.1249677120110926,53.6,94.41000000000001
11,2.100326234866411,54.75,94.59
12,2.053114881576636,55.76,95.03
13,1.9871066530545554,55.97,95.16
14,1.9480908956283178,56.54,95.19
15,1.9251947626089438,56.24,95.57
16,1.8968883031453843,56.910000000000004,95.47
17,1.8641366332005231,57.37,95.52000000000001
18,1.8371809109663353,56.97,95.56
19,1.8220931089841403,58.29,95.78999999999999
20,1.7932819198339414,58.120000000000005,95.7
21,1.7704222376529988,59.11,95.93
22,1.7429974568195832,58.45,95.63000000000001
23,1.7458344572629685,59.650000000000006,95.99
24,1.7147449640127328,59.95,96.26
25,1.6986686318348616,59.489999999999995,96.43
26,1.6933763824976407,59.84,96.21
27,1.679211082825294,60.419999999999995,96.27
28,1.6495814005533853,60.150000000000006,96.31
29,1.6480317558997717,61.38,96.48
30,1.6410536356461354,60.370000000000005,96.43
31,1.642544043675447,61.28,96.50999999999999
32,1.634934100126609,60.9,96.24000000000001
33,1.6176378916471432,61.28,96.73
34,1.611390513028854,61.59,96.57
35,1.600170787786826,61.260000000000005,96.61
36,1.5922250136350975,61.77,96.71
37,1.580554792819879,61.78,96.8
38,1.5716492258585417,62.11,96.88
39,1.557252514973665,62.260000000000005,96.81
40,1.5545046800222153,62.31,96.98
41,1.539132805970999,62.63999999999999,96.88
42,1.5331829266670423,62.91,96.94
43,1.5264040253101252,63.11,96.75
44,1.508122856494708,62.580000000000005,96.65
45,1.5131182997654646,63.3,96.93
46,1.5049478405561203,63.519999999999996,97.03
47,1.4895201258170299,63.65,96.89999999999999
48,1.4793468096317388,63.13999999999999,96.78999999999999
49,1.4841289575283343,64.19,97.00999999999999
50,1.4657955047411797,63.88,96.99
51,1.4696126017815028,64.71000000000001,97.08
52,1.4588495661050846,63.92,97.05
53,1.455383543173472,64.94,97.25
54,1.4546967167120712,63.82,97.2
55,1.434121493804149,64.44,97.27
56,1.450514766191825,64.84,97.28
57,1.4365857766224788,64.56,97.35000000000001
58,1.4244640328945257,65.53999999999999,97.23
59,1.4371022248879457,65.12,97.1
60,1.4282835162602938,64.92,97.15
61,1.4157312854742392,65.25,97.22
62,1.41926681689727,65.86,97.47
63,1.4071528505056332,65.31,97.11
64,1.3981910143143093,66.36,97.37
65,1.3957041688454457,65.68,97.42
66,1.4029617859767034,66.58,97.42
67,1.385952422252068,65.89,97.28999999999999
68,1.3815947596843425,66.24,97.21
69,1.3792901341731731,66.44,97.43
70,1.3788993783486194,66.07,97.5
71,1.371050226688385,65.91,97.34
72,1.3683970672961994,66.14999999999999,97.3
73,1.3726164851433191,67.10000000000001,97.49
74,1.3623105820937034,66.64,97.65
75,1.3686739053481665,66.23,97.26
76,1.3539958852988023,66.67999999999999,97.44
77,1.342074758425737,66.61,97.59
78,1.3660994914861826,66.62,97.50999999999999
79,1.3362340540457995,66.53999999999999,97.28999999999999
80,1.3415075325048886,67.64,97.48
81,1.346748577631437,67.36999999999999,97.59
82,1.3410625414970594,67.02,97.48
83,1.342756186081813,67.51,97.63
84,1.3335493644078573,67.44,97.59
85,1.3254460377570911,67.41,97.6
86,1.322912069161733,67.64,97.65
87,1.3377123346695534,67.64,97.63
88,1.3102853551889078,68.35,97.61999999999999
89,1.3164472340009152,68.38,97.72999999999999
90,1.2957338955157842,67.83,97.72
91,1.2976797476792947,67.88,97.63
92,1.3044827883060162,68.12,97.63
93,1.2864776394306086,67.85,97.63
94,1.2983957782769815,67.85,97.7
95,1.2904026473179842,67.62,97.61
96,1.2889433102729992,67.60000000000001,97.65
97,1.2984118832991673,67.9,97.72
98,1.2776848174058475,67.35,97.65
99,1.2764336451506004,67.94,97.72
100,1.2748670272338085,67.96,97.75
101,1.2726350637582633,67.84,97.84
102,1.2783145319192837,68.35,97.76
103,1.2725739929920588,68.92,97.66
104,1.2758146620713748,68.63,97.87
105,1.2642544391827706,68.58,97.8
106,1.2539979716142018,68.97,97.85000000000001
107,1.2534559023685945,68.43,97.94
108,1.255438146377221,68.21000000000001,97.84
109,1.2525360509371146,68.56,97.87
110,1.256909380050806,68.85,97.69
111,1.2438606358491457,68.58,97.81
112,1.2631859438541608,68.88,97.91
113,1.241950843273065,69.05,97.83
114,1.2478284313128545,69.0,97.78999999999999
115,1.2324691608930245,69.54,97.92999999999999
116,1.2174308295433338,69.3,97.72999999999999
117,1.225108125882271,68.77,97.72
118,1.2278978618291707,68.26,97.92
119,1.2323421131341885,69.88,97.86
120,1.2280755400657655,69.28999999999999,97.96000000000001
121,1.2226606749571287,69.33,97.91
122,1.2152500008925413,69.08,97.77
123,1.2057738449328985,69.57,98.00999999999999
124,1.2178043993619772,69.82000000000001,97.88
125,1.2167944232622783,69.59,97.83
126,1.208239258863987,69.47,98.13
127,1.2193985576813038,69.21000000000001,97.94
128,1.2063292269523327,69.85,97.99
129,1.2034244222518726,69.49,97.87
130,1.2095459716442303,69.82000000000001,97.89
131,1.194132424165041,69.47,97.97
132,1.1845793360318893,70.00999999999999,97.94
133,1.1854485543874593,69.76,98.17
134,1.1901297057286286,69.82000000000001,98.03
135,1.191728792893581,69.81,97.94
136,1.1839585583943588,69.67999999999999,98.02
137,1.1838477828563787,69.71000000000001,97.97
138,1.1835615119872949,70.33,98.17
