epoch,train_loss,test_acc@1,test_acc@5
1,4.5795189888049395,42.77,89.79
2,3.5558208245497482,47.97,92.58999999999999
3,2.8818456839292477,51.61,94.39999999999999
4,2.4834228148827187,54.14,94.75
5,2.2119736689787644,56.8,95.67
6,2.017054798052861,58.720000000000006,96.09
7,1.8751852460396596,60.9,96.31
8,1.7429788944048759,61.25000000000001,96.56
9,1.673061038591923,62.93,96.82
10,1.5999327656550286,64.34,97.02
11,1.5310106268295876,63.46000000000001,97.02
12,1.484766855606666,64.68,97.16
13,1.4387202385144355,64.94,97.32
14,1.399830231299767,65.77,97.35000000000001
15,1.3687220082833216,66.09,97.46000000000001
16,1.3332807663159492,66.79,97.72999999999999
17,1.3086188134474632,66.64999999999999,97.48
18,1.281711991933676,67.27,97.61999999999999
19,1.2544417346135164,67.45,97.76
20,1.2339448938002953,67.56,97.68
21,1.2172008460912949,67.86,97.83
22,1.2014283822132992,68.43,97.77
23,1.1659841137054638,68.0,97.78999999999999
24,1.149949107873134,68.38,97.89
25,1.1311536435897533,69.14,97.96000000000001
26,1.1256104643528277,68.83,98.0
27,1.1252603909908196,69.53,98.1
28,1.1176332547114445,69.47,98.17
29,1.0814904778431624,69.28,98.07000000000001
30,1.0811145004553673,69.67999999999999,98.16
31,1.0769477935937735,69.73,98.00999999999999
32,1.0475702035121428,70.48,98.22999999999999
33,1.03763457322732,70.37,98.24000000000001
34,1.0423876551481395,70.19,98.24000000000001
35,1.027771617204715,70.19,98.16
36,1.0076427456660149,70.39,98.27
37,1.0094337500058688,71.50999999999999,98.37
38,1.0040325800577798,71.21,98.4
39,0.9888167894803561,70.99,98.2
40,0.9864497942802234,70.95,98.37
41,0.9736114090833908,71.52,98.37
42,0.9664640116385924,71.53,98.28
43,0.9569255500267714,72.39999999999999,98.46000000000001
44,0.9492713471253713,71.8,98.56
45,0.9507784062471145,71.78999999999999,98.46000000000001
46,0.9416381519574385,71.89,98.35000000000001
47,0.9417686590781579,72.04,98.46000000000001
48,0.9300116034654471,72.67,98.42
49,0.9275358472114954,72.42,98.41
50,0.9183138641027304,72.00999999999999,98.42
51,0.9058678018741119,72.81,98.47
52,0.9065400151106028,72.61,98.54
53,0.9180937857199938,72.65,98.46000000000001
54,0.9027339915434519,72.77,98.48
55,0.9023103328851553,73.26,98.48
56,0.8876903850298662,73.3,98.50999999999999
57,0.8843353755963155,72.88,98.44000000000001
58,0.8779304455488156,72.61,98.48
59,0.8761096161145431,72.92999999999999,98.47
60,0.8760438431531955,73.3,98.49
61,0.8692571551371844,72.81,98.49
62,0.8707759572909428,73.14,98.67
63,0.8616691268407382,73.15,98.57000000000001
64,0.864620868059305,73.24000000000001,98.68
65,0.8477113784887852,73.64,98.59
66,0.8493321855862935,73.9,98.66
67,0.8403366030790866,73.66,98.56
68,0.8280730571502294,73.6,98.52
69,0.8282746247756175,73.7,98.58
70,0.8350255495462662,73.87,98.59
